"Modelo","RMSE","MAE","MAPE","AIC"
"Auto-ARIMA",823.660924274208,222.026425761824,Inf,28232.3984238382
"Holt-Winters",823.671086916809,222.945349839747,Inf,NA
"SARIMA (STL)",971.683827039113,400.205850495178,Inf,28167.5780999823
