"Modelo","RMSE","MAE","MAPE","AIC"
"Auto-ARIMA",897.196083258111,220.574440498403,Inf,28230.3984233862
"SARIMA (STL)",1056.1401511506,444.056881559461,Inf,28167.5954287976
"Holt-Winters",13693.8197636405,11899.131443299,Inf,NA
